label,text_bbox,node_index,overlap_bbox
"$10.0M 2025 ""AI Evaluation and Testing"" → RAND","[753.51,228.85]-[1155.29,247.75]",6,"[1130.00,240.00]-[1155.29,247.75]"
"$38.0M Audacious commitment to Canary (RAND + METR), 2024 (grey pipe)","[747.70,757.25]-[1355.27,776.15]",8,"[1130.00,757.25]-[1355.27,760.00]"
$70M+ 2026 recommendation → Redwood (M120),"[663.31,805.75]-[1061.10,824.65]",3,"[663.31,805.75]-[700.00,824.65]"
"$4.2M 2024–25 → METR: Vanguard $4.0M (donor unnamed); Founders Pledge $184K + SVCF $20K (Tallinn, per his ledger)","[636.07,612.85]-[1615.80,631.75]",2,"[636.07,612.85]-[700.00,631.75]"
~$17.0M to METR (grey),"[1581.40,370.05]-[1773.46,388.95]",11,"[1760.00,380.00]-[1773.46,388.95]"
$220K 2023 + undisclosed pooled fund,"[1458.57,492.95]-[1771.43,511.85]",7,"[1458.57,492.95]-[1470.00,511.85]"
$220K 2023 + undisclosed pooled fund,"[1458.57,492.95]-[1771.43,511.85]",11,"[1760.00,492.95]-[1771.43,511.85]"
"board seat (Gleave), no money","[1517.96,546.85]-[1765.24,565.75]",11,"[1760.00,546.85]-[1765.24,560.00]"
